,Code,Code.1,County,Metropolitan,Statistical
0,10180.0,48059,Callahan,"County,",TX
1,10180.0,48253,Jones,"County,",TX
2,10180.0,48441,Taylor,"County,",TX
3,10380.0,72003,Aguada,"Municipio,",PR
4,10380.0,72005,Aguadilla,"Municipio,",PR
5,10380.0,72011,AÒasco,"Municipio,",PR
6,10380.0,72071,Isabela,"Municipio,",PR
7,10380.0,72081,Lares,"Municipio,",PR
8,10380.0,72099,Moca,"Municipio,",PR
9,10380.0,72117,RincÛn,"Municipio,",PR
10,10380.0,72131,San,Sebasti·n,"Municipio,"
11,10420.0,39133,Portage,"County,",OH
12,10420.0,39153,Summit,"County,",OH
13,10500.0,13007,Baker,"County,",GA
14,10500.0,13095,Dougherty,"County,",GA
15,10500.0,13177,Lee,"County,",GA
16,10500.0,13273,Terrell,"County,",GA
17,10500.0,13321,Worth,"County,",GA
18,10580.0,36001,Albany,"County,",NY
19,10580.0,36083,Rensselaer,"County,",NY
20,10580.0,36091,Saratoga,"County,",NY
21,10580.0,36093,Schenectady,"County,",NY
22,10580.0,36095,Schoharie,"County,",NY
23,10740.0,35001,Bernalillo,"County,",NM
24,10740.0,35043,Sandoval,"County,",NM
25,10740.0,35057,Torrance,"County,",NM
26,10740.0,35061,Valencia,"County,",NM
27,10780.0,22043,Grant,"Parish,",LA
28,10780.0,22079,Rapides,"Parish,",LA
29,10900.0,34041,Warren,"County,",NJ
30,10900.0,42025,Carbon,"County,",PA
31,10900.0,42077,Lehigh,"County,",PA
32,10900.0,42095,Northampton,"County,",PA
33,11020.0,42013,Blair,"County,",PA
34,11100.0,48011,Armstrong,"County,",TX
35,11100.0,48065,Carson,"County,",TX
36,11100.0,48375,Potter,"County,",TX
37,11100.0,48381,Randall,"County,",TX
38,11180.0,19169,Story,"County,",IA
39,11260.0,2020,Anchorage,"Municipality,",AK
40,11260.0,2170,Matanuska-Susitna,"Borough,",AK
41,11300.0,18095,Madison,"County,",IN
44,11340.0,45007,Anderson,"County,",SC
47,11460.0,26161,Washtenaw,"County,",MI
50,11500.0,1015,Calhoun,"County,",AL
53,11540.0,55015,Calumet,"County,",WI
54,11540.0,55087,Outagamie,"County,",WI
57,11700.0,37021,Buncombe,"County,",NC
58,11700.0,37087,Haywood,"County,",NC
59,11700.0,37089,Henderson,"County,",NC
60,11700.0,37115,Madison,"County,",NC
63,12020.0,13059,Clarke,"County,",GA
64,12020.0,13195,Madison,"County,",GA
65,12020.0,13219,Oconee,"County,",GA
66,12020.0,13221,Oglethorpe,"County,",GA
69,12060.0,13013,Barrow,"County,",GA
70,12060.0,13015,Bartow,"County,",GA
71,12060.0,13035,Butts,"County,",GA
72,12060.0,13045,Carroll,"County,",GA
73,12060.0,13057,Cherokee,"County,",GA
74,12060.0,13063,Clayton,"County,",GA
75,12060.0,13067,Cobb,"County,",GA
76,12060.0,13077,Coweta,"County,",GA
77,12060.0,13085,Dawson,"County,",GA
78,12060.0,13089,DeKalb,"County,",GA
79,12060.0,13097,Douglas,"County,",GA
80,12060.0,13113,Fayette,"County,",GA
81,12060.0,13117,Forsyth,"County,",GA
82,12060.0,13121,Fulton,"County,",GA
