,Code,Code.1,County,Metropolitan,Statistical,region name
0,10180,48059,Callahan,"County,",TX,"Callahan County, TX"
1,10180,48253,Jones,"County,",TX,"Jones County, TX"
2,10180,48441,Taylor,"County,",TX,"Taylor County, TX"
3,10380,72003,Aguada,"Municipio,",PR,"Aguada Municipio, PR"
4,10380,72005,Aguadilla,"Municipio,",PR,"Aguadilla Municipio, PR"
5,10380,72011,AÒasco,"Municipio,",PR,"AÒasco Municipio, PR"
6,10380,72071,Isabela,"Municipio,",PR,"Isabela Municipio, PR"
7,10380,72081,Lares,"Municipio,",PR,"Lares Municipio, PR"
8,10380,72099,Moca,"Municipio,",PR,"Moca Municipio, PR"
9,10380,72117,RincÛn,"Municipio,",PR,"RincÛn Municipio, PR"
10,10380,72131,San,Sebasti·n,"Municipio,","San Sebasti·n Municipio,"
11,10420,39133,Portage,"County,",OH,"Portage County, OH"
12,10420,39153,Summit,"County,",OH,"Summit County, OH"
13,10500,13007,Baker,"County,",GA,"Baker County, GA"
14,10500,13095,Dougherty,"County,",GA,"Dougherty County, GA"
15,10500,13177,Lee,"County,",GA,"Lee County, GA"
16,10500,13273,Terrell,"County,",GA,"Terrell County, GA"
17,10500,13321,Worth,"County,",GA,"Worth County, GA"
18,10580,36001,Albany,"County,",NY,"Albany County, NY"
19,10580,36083,Rensselaer,"County,",NY,"Rensselaer County, NY"
20,10580,36091,Saratoga,"County,",NY,"Saratoga County, NY"
21,10580,36093,Schenectady,"County,",NY,"Schenectady County, NY"
22,10580,36095,Schoharie,"County,",NY,"Schoharie County, NY"
23,10740,35001,Bernalillo,"County,",NM,"Bernalillo County, NM"
24,10740,35043,Sandoval,"County,",NM,"Sandoval County, NM"
25,10740,35057,Torrance,"County,",NM,"Torrance County, NM"
26,10740,35061,Valencia,"County,",NM,"Valencia County, NM"
27,10780,22043,Grant,"Parish,",LA,"Grant Parish, LA"
28,10780,22079,Rapides,"Parish,",LA,"Rapides Parish, LA"
29,10900,34041,Warren,"County,",NJ,"Warren County, NJ"
30,10900,42025,Carbon,"County,",PA,"Carbon County, PA"
31,10900,42077,Lehigh,"County,",PA,"Lehigh County, PA"
32,10900,42095,Northampton,"County,",PA,"Northampton County, PA"
33,11020,42013,Blair,"County,",PA,"Blair County, PA"
34,11100,48011,Armstrong,"County,",TX,"Armstrong County, TX"
35,11100,48065,Carson,"County,",TX,"Carson County, TX"
36,11100,48375,Potter,"County,",TX,"Potter County, TX"
37,11100,48381,Randall,"County,",TX,"Randall County, TX"
38,11180,19169,Story,"County,",IA,"Story County, IA"
39,11260,2020,Anchorage,"Municipality,",AK,"Anchorage Municipality, AK"
40,11260,2170,Matanuska-Susitna,"Borough,",AK,"Matanuska-Susitna Borough, AK"
41,11300,18095,Madison,"County,",IN,"Madison County, IN"
